Count of ride_length,Column Labels,,,,,,,,,,,
 ,1,2,3,4,5,6,7,Grand Total,,,,
casual,2372,4053,3418,4586,4401,3107,2523,24460,,,,
member,9036,19782,18926,26519,22686,13759,9705,120413,,,,
Grand Total,11408,23835,22344,31105,27087,16866,12228,144873,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Count of ride_length,,,Column Labels,,,,,,,,
casual,24460,,,1,2,3,4,5,6,7,(blank),Grand Total
member,120413,,Count of ride_id,11408,23835,22344,31105,27087,16866,12228,,144873
(blank),,,,,,,,,,,,
Grand Total,144873,,,,,,,,,,,
